;url;rent;rooms;area
0;https://www.immobilienscout24.de/expose/109523308; 1.437,40 € ; 3 ; 106,87 m² 
1;https://www.immobilienscout24.de/expose/108982092; 1.247,97 € ; 2 ; 73,41 m² 
2;https://www.immobilienscout24.de/expose/110182204; 1.123,88 € ; 3 ; 83,25 m² 
